Designator,Footprint,Quantity,Value,LCSC Part #
A1,Adafruit_Feather_M0_RFM,1,Adafruit_Feather_M0_RFM9x_LoRa_Radio,
C1,0603,1,100nf,
C2,0603,1,6.8uF,
"C3, C6",0603,2,330pF,
"C4, C5, C7",0603,3,47uF,
"IC1, IC2",TPSM84209RKHT,2,TPSM84209RKHT,
J1,PinHeader_1x06_P1.00mm_Vertical,1,ESC,
"J10, J7, J8, J9",MountingHole_2.2mm_M2,4,M2,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"J2, J3, J4, J5",MountingHole_4.3mm_M4,4,M4 Mounting,
J6,PinSocket_1x05_P2.54mm_Vertical,1,Pixy2,
Q1,SOT95P237X111-3N,1,2N2222,
"R1, R2",0603,2,10k,
"R3, R5",0603,2,10kOhm,
R4,0603,1,2.2kOhm,
R6,0603,1,1.1k,
R7,0603,1,300,
U1,SON125P300X500X100-8N,1,MS560702BA03-50,
