Designator,Mid X,Mid Y,Rotation,Layer
C1,141.683513,-156.120062,90.0,top
C10,147.2689,-133.9973,270.0,top
C11,135.5852,-140.8176,90.0,top
C12,134.5692,-143.6116,180.0,top
C13,140.163138,-156.121662,90.0,top
C14,144.356075,-154.8427,0.0,top
C15,140.2,-152.0,270.0,top
C16,153.920035,-144.5844,270.0,top
C17,139.8,-139.8,180.0,top
C18,149.9616,-138.2,0.0,top
C19,150.3625,-153.5,180.0,top
C2,137.2975,-162.4306,90.0,top
C20,137.8,-149.2,180.0,top
C21,141.2,-138.2,180.0,top
C22,150.3625,-155.0,180.0,top
C3,132.879,-164.9706,0.0,top
C4,128.4,-163.5375,270.0,top
C7,157.636335,-148.3195,180.0,top
C8,156.5592,-156.3844,180.0,top
C9,146.3559,-130.8608,180.0,top
GPS1,156.718,-138.6332,270.0,top
IC1,133.2335,-160.6186,180.0,top
J1,144.6,-163.85,0.0,top
J13,124.2,-152.68,270.0,top
MT1,144.4185,-157.1284,180.0,top
PIXY1,135.5344,-130.2512,0.0,top
R1,134.4644,-145.3619,180.0,top
R2,132.3848,-139.3952,180.0,top
R3,132.8779,-166.5454,0.0,top
R4,136.385,-164.9706,0.0,top
R5,131.4704,-141.9352,270.0,top
R6,130.5,-149.5,270.0,top
R8,131.5,-154.0,180.0,top
RF1,122.627,-140.9192,90.0,top
U2,146.25,-146.0,90.0,top
U3,145.0594,-133.858,270.0,top
U5,133.5016,-141.5037,0.0,top
Y2,157.3592,-152.3844,90.0,top
